Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15
98090876Normal,L03-1,Special Day,58.4805,3,5.2,6.2,3,37448,37456,ARGentina,Rosario,AR,,
98090877Devolución,L05-4,Non,40.55,1,5.33,4.33,3,37448,37457,ECUador,Quito,EC,,
98090872Normal,CB01-1,Cyber Monday,532.872,3,8.45,6.45,1,37449,37465,ARGentina,Rosario,AR,,
98090873Devolución,CB01-2,Non,222.02999999999997,1,7,6,3,37449,37457,CHIle,Viña del Mar,CH,,
98090870Normal,CB01-6,Non,444.05999999999995,2,9.55,4.55,2,37450,37458,PERú,Lima,PE,,
98090871Normal,L01-6,Cyber Monday,49.2,2,9.33,6.33,2,37450,37465,VENezuela,Caracas,VE,,
98090864Normal,B04-3,Non,141.76,2,9.1,3.1,1,37451,37464,PARaguay,Asunción,PA,,
98090868Normal,CB01-3,Cyber Monday,177.624,1,7.65,5.65,1,37451,37462,ECUador,Quito,EC,,
98090866Devolución,CC01-6,Cyber Monday,42.024,1,7.86,3.86,1,37451,37459,URUguay,Montevideo,UR,,
98090867Normal,L01-3,Non,92.25,3,7.88,4.88,1,37451,37465,PARaguay,Asunción,PA,,
98090865Devolución,L03-7,Cyber Monday,71.976,3,8,4,2,37451,37465,PARaguay,Asunción,PA,,
98090869Normal,L07-4,Non,113.67,3,8,3,1,37451,37466,VENezuela,Caracas,VE,,
98090860Normal,CB01-2,Non,444.05999999999995,2,6.75,6.75,3,37452,37469,PERú,Lima,PE,,
98090862Normal,CC01-4,Non,105.06,2,8.68,3.68,2,37452,37461,PARaguay,Asunción,PA,,
98090863Devolución,CC02-1,Day Off Full,68.136,3,5.88,3.88,2,37452,37459,BRAsil,Rio,BR,,
98090859Normal,L03-2,Balck Fraday,22.4925,1,6,4,1,37452,37459,URUguay,Montevideo,UR,,
98090861Normal,L07-5,Non,113.67,3,8.58,3.58,2,37452,37464,URUguay,Montevideo,UR,,
98090856Normal,CB01-4,Day Off Full,377.45099999999996,2,5.55,5.55,1,37453,37469,ECUador,Quito,EC,,
98090858Devolución,CB01-6,Cyber Monday,177.624,1,6.89,4.89,2,37453,37468,República DOminiCana,Santo Domingo,RD,,
98090857Normal,L03-3,Non,29.99,1,6.84,3.84,1,37453,37473,BRAsil,Rio,BR,,
98090854Normal,B06-2,Cyber Monday,80.576000000000008,2,8.1,6.1,2,37454,37465,PERú,Lima,PE,,
98090852Normal,CC01-6,Special Day,68.289,2,5.36,6.36,2,37454,37471,PERú,Lima,PE,,
98090853Normal,L05-2,Non,81.1,2,7.58,3.58,3,37454,37466,BRAsil,Rio,BR,,
98090855Normal,L05-3,Special Day,26.357499999999998,1,9.99,5.99,2,37454,37472,ARGentina,Rosario,AR,,
98090851Normal,B01-5,Cyber Monday,120.288,3,6.75,6.75,1,37455,37463,VENezuela,Caracas,VE,,
98090850Normal,L06-6,Non,42.55,1,9.1,6.1,2,37455,37468,ARGentina,Rosario,AR,,
98090845Normal,C13-2,Cyber Monday,64.720000000000013,2,9.36,4.36,1,37456,37468,República DOminiCana,Santo Domingo,RD,,
98090849Normal,CC01-6,Non,52.53,1,8.61,5.61,2,37456,37471,ECUador,Quito,EC,,
98090846Normal,CC02-4,Non,53.44,2,5.84,3.84,3,37456,37469,ARGentina,Rosario,AR,,
98090844Normal,L02-7,Day Off Full,34.17,1,7.55,3.55,3,37456,37476,PARaguay,Asunción,PA,,
98090847Normal,L02-1,Non,40.2,1,9.86,4.86,3,37456,37464,CHIle,Viña del Mar,CH,,
98090848Normal,L03-7,Non,59.98,2,8.36,3.36,1,37456,37473,BRAsil,Rio,BR,,
98090840Normal,CB01-3,Balck Fraday,499.56749999999994,3,6.68,6.68,2,37457,37476,PERú,Lima,PE,,
98090842Normal,CB01-4,Cyber Monday,355.248,2,7.99,6.99,1,37457,37466,ARGentina,Rosario,AR,,
98090843Normal,CB01-7,Cyber Monday,532.872,3,7.86,6.86,1,37457,37475,CHIle,Viña del Mar,CH,,
98090841Normal,L02-7,Balck Fraday,30.150000000000002,1,9.22,6.22,1,37457,37476,URUguay,Montevideo,UR,,
98090837Normal,C14-1,Special Day,51.493,2,8.55,6.55,3,37458,37467,ARGentina,Rosario,AR,,
98090839Normal,CB01-2,Cyber Monday,532.872,3,6.55,5.55,2,37458,37478,República DOminiCana,Santo Domingo,RD,,
98090836Normal,CC02-5,Balck Fraday,40.08,2,8.58,5.58,2,37458,37472,PARaguay,Asunción,PA,,
98090838Normal,CC02-1,Cyber Monday,21.376,1,6.2,3.2,2,37458,37475,ECUador,Quito,EC,,
98090831Normal,CB01-7,Non,666.08999999999992,3,5.45,4.45,1,37459,37470,PARaguay,Asunción,PA,,
98090834Normal,CB01-7,Non,666.08999999999992,3,6.89,3.89,1,37459,37469,ARGentina,Rosario,AR,,
98090835Normal,CC01-6,Non,105.06,2,9.45,3.45,3,37459,37475,PARaguay,Asunción,PA,,
98090832Normal,L01-4,Cyber Monday,49.2,2,6.33,3.33,2,37459,37479,República DOminiCana,Santo Domingo,RD,,
98090833Normal,L04-7,Non,60.2,2,5.61,5.61,3,37459,37479,VENezuela,Caracas,VE,,
98090829Normal,CB01-2,Day Off Full,377.45099999999996,2,9.61,5.61,1,37460,37469,PARaguay,Asunción,PA,,
98090830Normal,CB01-4,Day Off Full,188.72549999999998,1,9.58,3.58,2,37460,37474,VENezuela,Caracas,VE,,
98090825Normal,B03-4,Cyber Monday,56.360000000000007,1,9.14,4.14,1,37461,37469,VENezuela,Caracas,VE,,
98090827Normal,C11-2,Non,32.61,1,9.61,4.61,3,37461,37469,PERú,Lima,PE,,
98090826Normal,C13-1,Non,40.45,1,8.45,5.45,3,37461,37475,PERú,Lima,PE,,
98090828Devolución,L03-4,Cyber Monday,71.976,3,5,7,3,37461,37468,República DOminiCana,Santo Domingo,RD,,
98090822Normal,B06-7,Special Day,65.468,2,7.33,4.33,3,37462,37475,ECUador,Quito,EC,,
98090824Normal,CC02-3,Cyber Monday,64.128,3,10,6,2,37462,37473,URUguay,Montevideo,UR,,
98090823Devolución,L07-6,Non,37.89,1,7.12,4.12,3,37462,37469,PARaguay,Asunción,PA,,
98090816Devolución,CB01-4,Non,444.05999999999995,2,7.73,4.73,2,37463,37482,ECUador,Quito,EC,,
98090818Normal,CC01-1,Balck Fraday,118.1925,3,6.99,4.99,3,37463,37471,ARGentina,Rosario,AR,,
98090820Normal,CC02-7,Non,53.44,2,6.45,4.45,2,37463,37483,PERú,Lima,PE,,
98090817Normal,L01-4,Non,30.75,1,7.86,6.86,1,37463,37481,ECUador,Quito,EC,,
98090819Normal,L03-2,Cyber Monday,23.992,1,5.68,6.68,3,37463,37470,PERú,Lima,PE,,
98090821Normal,L06-4,Non,85.1,2,5.33,3.33,2,37463,37483,ECUador,Quito,EC,,
98090812Normal,CB01-1,Non,444.05999999999995,2,5.14,6.14,1,37464,37483,URUguay,Montevideo,UR,,
98090813Normal,CB01-7,Special Day,432.95849999999996,3,5.45,4.45,2,37464,37481,VENezuela,Caracas,VE,,
98090815Normal,L01-4,Cyber Monday,24.6,1,6.89,4.89,2,37464,37478,ARGentina,Rosario,AR,,
98090814Normal,L07-3,Non,37.89,1,5.58,5.58,1,37464,37480,VENezuela,Caracas,VE,,
98090810Normal,CB01-3,Non,444.05999999999995,2,9.58,5.58,3,37465,37472,BRAsil,Rio,BR,,
98090811Normal,CC01-4,Cyber Monday,126.072,3,6,5,1,37465,37473,ARGentina,Rosario,AR,,
98090809Normal,L01-5,Non,61.5,2,6,7,1,37465,37475,CHIle,Viña del Mar,CH,,
98090808Normal,L05-7,Balck Fraday,60.824999999999996,2,5,5,3,37465,37480,ECUador,Quito,EC,,
98090806Normal,CB01-7,Non,222.02999999999997,1,6.22,6.22,1,37466,37473,BRAsil,Rio,BR,,
98090807Normal,CC01-7,Cyber Monday,126.072,3,5.99,5.99,2,37466,37476,ECUador,Quito,EC,,
98090803Normal,CB01-5,Non,666.08999999999992,3,6.99,6.99,3,37467,37480,República DOminiCana,Santo Domingo,RD,,
98090804Normal,L02-7,Non,120.60000000000001,3,9.22,5.22,1,37467,37484,República DOminiCana,Santo Domingo,RD,,
98090805Devolución,L02-7,Cyber Monday,32.160000000000004,1,7.1,5.1,3,37467,37475,PARaguay,Asunción,PA,,
98090802Normal,L02-1,Cyber Monday,64.320000000000007,2,5.55,4.55,3,37468,37487,ARGentina,Rosario,AR,,
98090794Normal,CB01-6,Special Day,432.95849999999996,3,5.22,6.22,3,37469,37482,PERú,Lima,PE,,
98090799Normal,CC01-3,Non,157.59,3,10,5,3,37469,37479,CHIle,Viña del Mar,CH,,
98090798Normal,L01-1,Non,61.5,2,8.45,4.45,2,37469,37486,PERú,Lima,PE,,
98090800Normal,L01-6,Non,92.25,3,8.99,4.99,1,37469,37485,ECUador,Quito,EC,,
98090797Normal,L03-1,Non,59.98,2,8.99,4.99,3,37469,37483,CHIle,Viña del Mar,CH,,
98090795Normal,L04-5,Non,30.1,1,6.55,3.55,1,37469,37484,BRAsil,Rio,BR,,
98090801Normal,L05-7,Non,81.1,2,5,4,1,37469,37477,ARGentina,Rosario,AR,,
98090796Normal,L06-4,Non,85.1,2,7.36,3.36,3,37469,37477,ECUador,Quito,EC,,
98090793Normal,CB01-5,Balck Fraday,499.56749999999994,3,9.61,6.61,2,37470,37483,República DOminiCana,Santo Domingo,RD,,
98090792Normal,L05-4,Cyber Monday,32.44,1,9.68,5.68,3,37471,37486,ARGentina,Rosario,AR,,
98090791Normal,L07-5,Balck Fraday,85.2525,3,6.1,4.1,3,37471,37481,BRAsil,Rio,BR,,
98090788Devolución,CB01-3,Cyber Monday,177.624,1,9.88,5.88,1,37472,37485,ARGentina,Rosario,AR,,
98090790Normal,CB01-1,Cyber Monday,355.248,2,6.99,6.99,2,37472,37479,CHIle,Viña del Mar,CH,,
98090789Normal,CC02-4,Non,26.72,1,5.2,6.2,1,37472,37486,PARaguay,Asunción,PA,,
98090787Devolución,CB01-2,Cyber Monday,532.872,3,6.45,5.45,1,37473,37493,ARGentina,Rosario,AR,,
98090786Normal,L05-5,Non,81.1,2,8.61,3.61,3,37473,37482,CHIle,Viña del Mar,CH,,
98090784Normal,CB01-2,Cyber Monday,177.624,1,9.75,3.75,1,37474,37486,ECUador,Quito,EC,,
98090785Devolución,CB01-7,Non,666.08999999999992,3,9.99,6.99,2,37474,37487,CHIle,Viña del Mar,CH,,
98090782Normal,C14-1,Non,118.83,3,9.73,3.73,1,37475,37492,URUguay,Montevideo,UR,,
98090783Normal,CC01-4,Cyber Monday,84.048,2,6.86,3.86,3,37475,37482,BRAsil,Rio,BR,,
98090780Normal,CB01-5,Non,222.02999999999997,1,6.22,6.22,3,37476,37493,PARaguay,Asunción,PA,,
98090781Normal,CC02-4,Non,53.44,2,9.55,6.55,1,37476,37489,PERú,Lima,PE,,
98090774Normal,CB01-1,Non,444.05999999999995,2,5.84,3.84,1,37477,37488,ECUador,Quito,EC,,
98090775Devolución,CB01-7,Balck Fraday,499.56749999999994,3,5.61,4.61,2,37477,37496,CHIle,Viña del Mar,CH,,
98090777Normal,CC01-6,Non,52.53,1,8.61,6.61,2,37477,37496,CHIle,Viña del Mar,CH,,
98090773Normal,CC02-4,Special Day,17.368,1,8.58,3.58,1,37477,37490,URUguay,Montevideo,UR,,
98090778Normal,CC02-1,Non,80.16,3,8.75,5.75,1,37477,37497,República DOminiCana,Santo Domingo,RD,,
98090776Normal,L05-2,Cyber Monday,97.32,3,7.12,6.12,2,37477,37485,URUguay,Montevideo,UR,,
98090779Normal,L05-2,Cyber Monday,64.88,2,8.58,6.58,1,37477,37488,PERú,Lima,PE,,
98090768Normal,CB01-5,Cyber Monday,532.872,3,7.45,4.45,2,37478,37498,ECUador,Quito,EC,,
98090771Normal,CB01-4,Cyber Monday,177.624,1,8,5,1,37478,37489,ARGentina,Rosario,AR,,
98090769Normal,L01-2,Non,61.5,2,9,5,1,37478,37492,PARaguay,Asunción,PA,,
98090770Normal,L05-3,Non,121.64999999999999,3,6.99,4.99,3,37478,37487,PERú,Lima,PE,,
98090772Normal,L07-6,Balck Fraday,85.2525,3,6.22,4.22,3,37478,37498,BRAsil,Rio,BR,,
98090767Normal,B01-3,Cyber Monday,40.096000000000004,1,6.14,3.14,2,37479,37486,URUguay,Montevideo,UR,,
98090763Normal,B06-6,Balck Fraday,75.539999999999992,2,8.58,3.58,2,37479,37497,VENezuela,Caracas,VE,,
98090766Normal,CC02-1,Non,80.16,3,7,3,1,37479,37497,BRAsil,Rio,BR,,
98090764Devolución,L05-7,Cyber Monday,32.44,1,5.1,3.1,3,37479,37488,URUguay,Montevideo,UR,,
98090765Normal,L06-2,Non,127.64999999999999,3,8.55,5.55,2,37479,37487,República DOminiCana,Santo Domingo,RD,,
98090759Normal,CB01-4,Non,222.02999999999997,1,5.55,6.55,1,37480,37493,ARGentina,Rosario,AR,,
98090761Normal,CB01-3,Non,666.08999999999992,3,5.84,3.84,1,37480,37494,PERú,Lima,PE,,
98090762Normal,CC01-2,Non,105.06,2,8.12,5.12,2,37480,37489,URUguay,Montevideo,UR,,
98090760Normal,L03-7,Non,89.97,3,8,5,3,37480,37500,República DOminiCana,Santo Domingo,RD,,
98090758Devolución,L04-2,Cyber Monday,72.240000000000009,3,5.88,3.88,1,37480,37492,URUguay,Montevideo,UR,,
98090754Normal,CC02-2,Balck Fraday,20.04,1,6.89,3.89,1,37481,37497,VENezuela,Caracas,VE,,
98090755Normal,CC02-1,Balck Fraday,20.04,1,9.36,6.36,2,37481,37500,ARGentina,Rosario,AR,,
98090757Normal,L03-5,Non,29.99,1,9.61,4.61,2,37481,37499,PARaguay,Asunción,PA,,
98090756Devolución,L05-5,Non,121.64999999999999,3,6.1,5.1,3,37481,37497,CHIle,Viña del Mar,CH,,
98090753Devolución,CC02-5,Cyber Monday,42.752,2,8.89,3.89,2,37482,37494,ECUador,Quito,EC,,
98090751Devolución,L01-1,Non,61.5,2,6.45,6.45,1,37482,37489,CHIle,Viña del Mar,CH,,
98090752Normal,L01-2,Non,61.5,2,6.55,4.55,3,37482,37489,URUguay,Montevideo,UR,,
98090750Devolución,L04-7,Cyber Monday,72.240000000000009,3,7.65,3.65,3,37482,37499,República DOminiCana,Santo Domingo,RD,,
98090746Normal,CC02-3,Cyber Monday,42.752,2,9,6,1,37484,37495,BRAsil,Rio,BR,,
98090747Devolución,L02-4,Non,40.2,1,6.55,3.55,3,37484,37500,CHIle,Viña del Mar,CH,,
98090749Normal,L02-5,Cyber Monday,64.320000000000007,2,9,3,3,37484,37492,URUguay,Montevideo,UR,,
98090745Normal,L03-7,Non,29.99,1,6.84,3.84,1,37484,37501,BRAsil,Rio,BR,,
98090748Normal,L07-5,Non,75.78,2,9.65,4.65,1,37484,37495,URUguay,Montevideo,UR,,
98090742Normal,CC01-3,Special Day,102.43350000000001,3,9,7,1,37485,37493,CHIle,Viña del Mar,CH,,
98090744Normal,CC01-6,Special Day,68.289,2,7.14,4.14,1,37485,37501,URUguay,Montevideo,UR,,
98090743Normal,CC02-2,Balck Fraday,20.04,1,6.73,5.73,1,37485,37498,PARaguay,Asunción,PA,,
98090741Normal,B02-3,Non,181.74,3,5.22,5.22,2,37486,37505,CHIle,Viña del Mar,CH,,
98090740Normal,CC01-2,Balck Fraday,39.3975,1,6.45,5.45,1,37486,37499,PARaguay,Asunción,PA,,
98090734Devolución,CB01-7,Non,666.08999999999992,3,7.61,5.61,1,37487,37502,PERú,Lima,PE,,
98090738Normal,CB01-4,Non,666.08999999999992,3,7.14,5.14,1,37487,37502,República DOminiCana,Santo Domingo,RD,,
98090735Normal,CC01-7,Non,52.53,1,7.36,6.36,2,37487,37504,VENezuela,Caracas,VE,,
98090736Normal,CC01-6,Non,157.59,3,5.36,3.36,3,37487,37495,PERú,Lima,PE,,
98090739Normal,L05-4,Cyber Monday,97.32,3,9.88,4.88,1,37487,37496,ARGentina,Rosario,AR,,
98090737Normal,L06-4,Cyber Monday,102.12,3,9.75,5.75,1,37487,37501,PERú,Lima,PE,,
98090732Normal,CB01-5,Day Off Full,566.17649999999992,3,5.33,4.33,3,37488,37502,URUguay,Montevideo,UR,,
98090733Normal,CC02-4,Cyber Monday,64.128,3,10,3,3,37488,37508,República DOminiCana,Santo Domingo,RD,,
98090729Devolución,L01-5,Non,30.75,1,8.14,5.14,1,37488,37500,ECUador,Quito,EC,,
98090731Normal,L01-4,Cyber Monday,24.6,1,5.14,3.14,1,37488,37507,República DOminiCana,Santo Domingo,RD,,
98090730Normal,L02-7,Non,40.2,1,6.99,6.99,3,37488,37500,ARGentina,Rosario,AR,,
98090728Normal,L07-7,Cyber Monday,60.624,2,5.14,3.14,1,37489,37509,PARaguay,Asunción,PA,,
98090723Devolución,C11-5,Non,97.83,3,9.73,3.73,2,37490,37499,ECUador,Quito,EC,,
98090725Normal,CB01-3,Balck Fraday,166.52249999999998,1,6.75,3.75,2,37490,37509,BRAsil,Rio,BR,,
98090726Normal,CC02-1,Balck Fraday,20.04,1,6.2,5.2,2,37490,37503,ECUador,Quito,EC,,
98090724Normal,L02-6,Non,80.4,2,9,6,3,37490,37503,ARGentina,Rosario,AR,,
98090727Normal,L07-6,Cyber Monday,90.936,3,6.65,6.65,2,37490,37508,PERú,Lima,PE,,
98090721Normal,L02-2,Special Day,78.390000000000015,3,10,6,2,37491,37504,República DOminiCana,Santo Domingo,RD,,
98090720Normal,L07-1,Non,75.78,2,9.58,4.58,2,37491,37505,VENezuela,Caracas,VE,,
98090722Normal,L07-4,Non,113.67,3,8.99,5.99,1,37491,37504,ECUador,Quito,EC,,
98090718Normal,CB01-1,Non,666.08999999999992,3,6.14,3.14,3,37492,37500,República DOminiCana,Santo Domingo,RD,,
98090719Normal,L05-7,Balck Fraday,91.2375,3,5.55,6.55,1,37492,37501,PERú,Lima,PE,,
98090717Normal,L07-5,Non,37.89,1,5.36,6.36,3,37493,37509,URUguay,Montevideo,UR,,
98090716Normal,CC01-7,Cyber Monday,42.024,1,5.61,4.61,2,37494,37513,URUguay,Montevideo,UR,,
98090715Normal,CB01-3,Non,444.05999999999995,2,6,4,1,37495,37514,PARaguay,Asunción,PA,,
98090713Devolución,CC01-6,Non,105.06,2,9.22,3.22,1,37495,37512,BRAsil,Rio,BR,,
98090714Normal,L02-1,Non,80.4,2,8.99,3.99,2,37495,37512,CHIle,Viña del Mar,CH,,
98090712Normal,CB01-7,Day Off Full,188.72549999999998,1,8,5,1,37496,37509,República DOminiCana,Santo Domingo,RD,,
98090711Normal,L02-1,Non,80.4,2,8.75,4.75,1,37496,37505,República DOminiCana,Santo Domingo,RD,,
98090709Devolución,CC01-5,Special Day,68.289,2,7,5,2,37497,37509,PARaguay,Asunción,PA,,
98090710Normal,L03-5,Cyber Monday,71.976,3,8.1,3.1,3,37497,37517,PERú,Lima,PE,,
98090704Normal,C11-6,Non,32.61,1,5.22,4.22,3,37498,37510,PARaguay,Asunción,PA,,
98090705Normal,CC01-5,Non,105.06,2,7.84,3.84,2,37498,37511,PARaguay,Asunción,PA,,
98090706Normal,L03-3,Non,59.98,2,6.75,3.75,3,37498,37512,PERú,Lima,PE,,
98090707Normal,L06-4,Non,42.55,1,8.1,6.1,3,37498,37516,República DOminiCana,Santo Domingo,RD,,
98090708Devolución,L07-3,Cyber Monday,30.312,1,8.25,4.25,2,37498,37515,URUguay,Montevideo,UR,,
98090702Normal,CC01-4,Non,157.59,3,7.75,6.75,2,37499,37519,URUguay,Montevideo,UR,,
98090703Normal,L03-6,Non,59.98,2,9.25,4.25,1,37499,37508,VENezuela,Caracas,VE,,
98090698Normal,B02-7,Non,181.74,3,8.61,5.61,3,37500,37520,CHIle,Viña del Mar,CH,,
98090701Normal,CC01-7,Non,105.06,2,6.12,3.12,2,37500,37516,PARaguay,Asunción,PA,,
98090697Normal,L03-7,Cyber Monday,23.992,1,8.65,6.65,3,37500,37511,ARGentina,Rosario,AR,,
98090699Normal,L03-2,Balck Fraday,67.477499999999992,3,7.1,4.1,3,37500,37507,ECUador,Quito,EC,,
98090700Normal,L04-7,Non,90.300000000000011,3,6.68,3.68,1,37500,37519,URUguay,Montevideo,UR,,
98090693Normal,CB01-2,Non,222.02999999999997,1,8.65,3.65,2,37501,37510,VENezuela,Caracas,VE,,
98090695Normal,CB01-3,Cyber Monday,532.872,3,9.88,4.88,1,37501,37521,URUguay,Montevideo,UR,,
98090694Normal,CC01-2,Cyber Monday,84.048,2,6.75,4.75,3,37501,37510,CHIle,Viña del Mar,CH,,
98090696Normal,L05-6,Cyber Monday,97.32,3,7.99,5.99,2,37501,37520,República DOminiCana,Santo Domingo,RD,,
98090691Normal,CB01-7,Non,444.05999999999995,2,9.55,5.55,3,37502,37519,ARGentina,Rosario,AR,,
98090689Normal,CC01-5,Non,157.59,3,7.45,3.45,2,37502,37520,VENezuela,Caracas,VE,,
98090690Normal,CC01-1,Non,157.59,3,8,7,3,37502,37512,PARaguay,Asunción,PA,,
98090692Normal,L01-7,Cyber Monday,49.2,2,7,4,1,37502,37513,PERú,Lima,PE,,
98090688Normal,B04-6,Cyber Monday,56.704,1,7.14,3.14,2,37503,37513,ARGentina,Rosario,AR,,
98090685Normal,CB01-2,Cyber Monday,355.248,2,6.58,4.58,1,37503,37520,ARGentina,Rosario,AR,,
98090687Normal,L03-5,Cyber Monday,23.992,1,6.61,5.61,3,37503,37518,CHIle,Viña del Mar,CH,,
98090686Normal,L05-3,Non,81.1,2,7.9,3.9,3,37503,37521,PARaguay,Asunción,PA,,
98090684Normal,B03-7,Non,211.35000000000002,3,6,4,2,37504,37521,República DOminiCana,Santo Domingo,RD,,
98090683Normal,B01-5,Non,50.12,1,5.58,6.58,3,37505,37523,PERú,Lima,PE,,
98090682Normal,L06-3,Day Off Full,36.1675,1,7.86,4.86,1,37505,37524,República DOminiCana,Santo Domingo,RD,,
98090680Normal,CB01-3,Non,222.02999999999997,1,7.88,4.88,1,37506,37523,ECUador,Quito,EC,,
98090681Devolución,L04-5,Non,60.2,2,8.55,4.55,2,37506,37513,BRAsil,Rio,BR,,
98090679Normal,L05-6,Cyber Monday,32.44,1,7,6,3,37506,37526,República DOminiCana,Santo Domingo,RD,,
98090675Devolución,C11-1,Special Day,63.5895,3,9.89,6.89,3,37507,37522,VENezuela,Caracas,VE,,
98090674Normal,CB01-5,Cyber Monday,355.248,2,7.2,3.2,2,37507,37516,URUguay,Montevideo,UR,,
98090678Normal,L01-6,Cyber Monday,49.2,2,8.61,3.61,1,37507,37519,BRAsil,Rio,BR,,
98090673Normal,L02-7,Non,80.4,2,5.55,5.55,2,37507,37523,URUguay,Montevideo,UR,,
98090677Normal,L03-3,Cyber Monday,47.984,2,8.58,5.58,3,37507,37515,República DOminiCana,Santo Domingo,RD,,
98090676Normal,L07-7,Cyber Monday,60.624,2,9.68,3.68,1,37507,37516,BRAsil,Rio,BR,,
98090669Devolución,CC02-3,Non,53.44,2,5.86,6.86,1,37508,37516,BRAsil,Rio,BR,,
98090670Normal,L01-5,Cyber Monday,24.6,1,9.88,6.88,1,37508,37520,PERú,Lima,PE,,
98090672Normal,L02-1,Balck Fraday,30.150000000000002,1,9.75,5.75,3,37508,37528,PERú,Lima,PE,,
98090671Normal,L05-1,Non,40.55,1,5.65,4.65,1,37508,37527,URUguay,Montevideo,UR,,
98090665Normal,CB01-7,Non,666.08999999999992,3,7.45,6.45,1,37509,37528,PARaguay,Asunción,PA,,
98090666Devolución,CB01-2,Non,666.08999999999992,3,6.75,6.75,3,37509,37516,PARaguay,Asunción,PA,,
98090668Devolución,CC02-2,Cyber Monday,42.752,2,8.33,5.33,3,37509,37523,URUguay,Montevideo,UR,,
98090667Normal,L01-2,Non,92.25,3,8.45,4.45,1,37509,37527,BRAsil,Rio,BR,,
98090663Normal,CB01-5,Non,222.02999999999997,1,9.36,5.36,2,37510,37517,ARGentina,Rosario,AR,,
98090664Normal,CB01-6,Non,444.05999999999995,2,7.25,4.25,1,37510,37523,CHIle,Viña del Mar,CH,,
98090661Devolución,CC02-2,Cyber Monday,64.128,3,8.99,5.99,1,37510,37518,PARaguay,Asunción,PA,,
98090662Normal,L01-4,Non,61.5,2,5.65,5.65,2,37510,37527,PARaguay,Asunción,PA,,
98090659Normal,B01-6,Cyber Monday,120.288,3,9.84,3.84,1,37511,37518,ECUador,Quito,EC,,
98090658Normal,CC01-3,Non,52.53,1,6.45,5.45,1,37511,37518,PERú,Lima,PE,,
98090660Normal,CC01-1,Cyber Monday,42.024,1,8.45,6.45,2,37511,37528,URUguay,Montevideo,UR,,
98090653Normal,CB01-6,Cyber Monday,177.624,1,9.61,5.61,2,37512,37523,BRAsil,Rio,BR,,
98090654Normal,CB01-6,Cyber Monday,532.872,3,8.58,3.58,2,37512,37526,PERú,Lima,PE,,
98090657Normal,CC01-4,Balck Fraday,78.795,2,5.58,4.58,2,37512,37524,CHIle,Viña del Mar,CH,,
98090649Normal,CC02-3,Cyber Monday,21.376,1,5.36,3.36,1,37512,37522,BRAsil,Rio,BR,,
98090655Devolución,CC02-3,Non,26.72,1,5.89,5.89,3,37512,37532,PARaguay,Asunción,PA,,
98090656Normal,CC02-2,Day Off Full,45.424,2,6.75,4.75,1,37512,37529,URUguay,Montevideo,UR,,
98090652Normal,L01-1,Non,61.5,2,6.14,4.14,3,37512,37530,ECUador,Quito,EC,,
98090651Normal,L03-2,Cyber Monday,47.984,2,9.9,4.9,3,37512,37528,URUguay,Montevideo,UR,,
98090650Normal,L04-6,Cyber Monday,48.160000000000004,2,6.61,3.61,1,37512,37521,PERú,Lima,PE,,
98090647Normal,CC01-3,Non,52.53,1,5.55,3.55,1,37513,37521,ARGentina,Rosario,AR,,
98090646Devolución,CC02-2,Cyber Monday,64.128,3,5.25,6.25,1,37513,37522,VENezuela,Caracas,VE,,
98090648Normal,CC02-1,Non,53.44,2,7.14,3.14,1,37513,37531,PARaguay,Asunción,PA,,
98090645Normal,L02-5,Cyber Monday,96.480000000000018,3,10,6,2,37513,37533,PARaguay,Asunción,PA,,
98090642Normal,CB01-5,Cyber Monday,177.624,1,5.65,3.65,3,37514,37530,PARaguay,Asunción,PA,,
98090643Normal,CC01-6,Non,52.53,1,9,6,1,37514,37523,República DOminiCana,Santo Domingo,RD,,
98090644Normal,L02-3,Cyber Monday,96.480000000000018,3,5,6,1,37514,37527,República DOminiCana,Santo Domingo,RD,,
98090639Devolución,CB01-5,Non,444.05999999999995,2,5.88,3.88,1,37515,37522,URUguay,Montevideo,UR,,
98090641Normal,L02-5,Non,120.60000000000001,3,9.22,3.22,1,37515,37525,PERú,Lima,PE,,
98090640Normal,L04-1,Cyber Monday,72.240000000000009,3,8.36,5.36,2,37515,37525,ARGentina,Rosario,AR,,
98090637Normal,C12-2,Cyber Monday,71.616,3,7.99,4.99,2,37516,37530,ECUador,Quito,EC,,
98090635Normal,CB01-4,Cyber Monday,177.624,1,10,4,2,37516,37534,ECUador,Quito,EC,,
98090634Normal,CC02-7,Cyber Monday,21.376,1,6.99,5.99,1,37516,37524,BRAsil,Rio,BR,,
98090638Normal,CC02-2,Non,53.44,2,5.89,3.89,2,37516,37527,ARGentina,Rosario,AR,,
98090636Normal,L03-3,Cyber Monday,23.992,1,6.88,6.88,1,37516,37529,CHIle,Viña del Mar,CH,,
98090632Devolución,CB01-3,Non,666.08999999999992,3,9.14,6.14,3,37517,37526,PERú,Lima,PE,,
98090631Devolución,CC01-6,Cyber Monday,42.024,1,5.14,6.14,2,37517,37524,VENezuela,Caracas,VE,,
98090633Normal,CC01-2,Non,157.59,3,8.58,5.58,1,37517,37530,ECUador,Quito,EC,,
